"","category","name","price","ratings","no_of_reviews"
"89","Pillow","Maxzzz Pillows 2 Pack, Soft Hypoallergenic Anti-Dust Pillows, Down Alternative Pillows, Bed Pillows for Neck & Side Sleeper, Standard Size Pillows with Removable Bamboo Fiber Cover (42 * 70CM)","£9.99","4.4 out of 5 stars","96"
"90","Pillow","Acanva Bed Pillows 2 Pack Hotel Collection Luxury Soft Inserts for Sleeping-Breathable and Comfortable for Stomach Back Sleepers, King (Pack of 2), White 2 Count","£5.00","4.6 out of 5 stars","4,196"
"91","Pillow","Silentnight Ultrabounce Pillows 2 Pack – Soft Medium Support Comfortable Bouncy Pillows for Stomach, Back and Side Sleepers – Machine Washable and Hypoallergenic Bed Pillows – Pack of 2","£10.80","4.4 out of 5 stars","30,787"
"92","Pillow","Silentnight Deep Sleep Pillows 4 Pack - Medium Support Bed Pillows for Side, Front, Stomach and Back Sleepers Comfortable - Machine Washable and Hypoallergenic - Pack of 4","£5.40","4.4 out of 5 stars","27,825"
"93","Pillow","GIFTIMIZED Luxury Quilted Pillows Pack Hotel Quality Soft Bounce Back Cover Premium Filled Medium/Firm Support Anti-Allergy Anti-Dustmite (2 Pillows)","£15.29","4.6 out of 5 stars","8"
"94","Pillow","Silentnight Hotel Collection Pillow 2 Pack – Pair of Luxury Hotel Quality Pillows Hypoallergenic and Machine Washable – Pack of 2,White","£22.49","4.4 out of 5 stars","8,932"
"95","Pillow","Sofslee Pillows 2 Pack, Hotel Pillows of 2, Hypoallergenic Bed Pillows for Neck Pain, Luxury Sleeping Pillows for Side and Back Sleepers, Down Alternative Fluffy Soft Pillow Standard Size 42 x 70cm","£5.62","4.5 out of 5 stars","42"
"96","Pillow","Silentnight Anti-Allergy Pillows 2 Pack – Soft Medium Support Anti Bacterial, Bed Hotel Pillows for Back, Stomach and Side Sleepers, White","£28.80","4.5 out of 5 stars","10,235"
"97","Pillow","Molblly Pillows 2 Pack Shredded Memory Foam Pillow, Cooing Pillows for Sleeping,Hypoallergenic Hotel Bed Pillows Pillows for Neck and Shoulder Pain,Standard Size Washable (51 * 66,1 Pair)","£11.99","4.4 out of 5 stars","885"
"98","Pillow","MH Home Pillows 2 Pack, Soft Support Bounce To Back Hotel Quality Extra Filling Bed Designed For Front, Side And Sleeper, Body","£18.45","4.1 out of 5 stars","3,165"
