"","category","name","price","ratings","no_of_reviews"
"78","Socks","Unisex Bold 3-stripes Cushioned Crew Socks 3 Pairs Socks","£12.60","2.5 out of 5 stars","3"
"79","Socks","Men's Cushion Quarter Socks (Pack of 3)","£14.40","4.5 out of 5 stars","6,578"
"80","Socks","Merino Wool Thermal Walking Socks for Men & Women Warm Thick Winter Hiking Cushioned Moisture Wicking Boot Socks for Outdoor 4 Pairs","£9.89","4.5 out of 5 stars","1,510"
"81","Socks","Women's Anti-Blister Moisture Wicking Trainer Socks Athletic Ankle Quarter Cushion Compression Socks","£1.65","4.6 out of 5 stars","4,441"
"82","Socks","Running Socks Thick Cushion Ankle Socks Trainer Socks for Men Women Cotton Sports Socks (6 Pairs)","£9.57","4.7 out of 5 stars","6,862"
"83","Socks","Mens Bamboo Seamless Diabetic Socks Soft Top Ankle Socks,6 Pairs Size 6-11 UK","£1.60","4.5 out of 5 stars","2,169"
"84","Socks","Mens Socks Cushioned Ankle Socks Men Sports Socks Ladies Trainer Socks Women Athletic Socks Running Socks (6 Pairs)","£12.49","4.6 out of 5 stars","4,015"
"85","Socks","NAFFIC Women Athletic Socks, Running Hiking Socks Sports Sneaker Socks Outdoor Hiking Climbing Socks No Blister Terry Cushion, Breathable, Moisture Wicking Sport Low Cut Socks 6 pairs","£12.49","4.6 out of 5 stars","1,725"
"86","Socks","3 Pairs Mens Plain Sports Socks Mens Cotton Rich Sports Socks Men Workout Training Hiking Walking Athletic Sports Socks Mens Breathable Comfortable Sports Socks UK 6-11","£14.53","3.9 out of 5 stars","23"
"87","Socks","Mens Cushioned Crew Socks Performance Athletic Walking Sports Socks Moisture Wicking Cotton Casual Mens Socksfor Men Size 6-11, 5 Pairs","£4.84","4.5 out of 5 stars","767"
"88","Socks","Thermal Socks Merino Wool Socks for Men Women, Thick Warm Crew Sock for Work Walking Hiking Running Skiing and Outdoor Sports","£7.45","4.5 out of 5 stars","2,354"
"89","Socks","mens 6 Pack Crew Socks","£2.48","4.7 out of 5 stars","555"
"90","Socks","Athletic Socks Women 6 Pairs Cotton Cushioned Sports Trainer Socks for Womens Breathable Running Socks Low Cut Nonslip Ladies Ankle Socks","£9.91","4.6 out of 5 stars","185"
"91","Socks","6 PAIRS NON ELASTIC DIABETIC MENS EASY GRIP LOOSE SOFT TOP RICH COTTON SOCKS UK SIZE 6-11","£8.32","4.3 out of 5 stars","2,375"
"92","Socks","12 Pack Mens Work Socks - Thick Socks Men, Cushioned Padded Sole For Builders, Mechanics, Engineers - Boot Socks For Men, Work Socks For Men 9-12 Heavy Duty, Thick Work Socks Sweat Absorbing","£1.39","4.5 out of 5 stars","6,685"
"93","Socks","Trainer Ankle Socks for Men Women 10 Pairs Sport Low short Socks","£9.16","4.5 out of 5 stars","5,868"
"94","Socks","10 Pairs Womens Socks Cotton Soft Ladies Patterned Stripes and Spotts Socks for Womens Girls, Orange, One Size","£16.66","4.7 out of 5 stars","548"
"95","Socks","Women's Casual Crew Socks, 6 Pairs","£1.39","4.5 out of 5 stars","17,168"
"96","Socks","Unisex 3 Pack Crew Socks","£20.82","4.5 out of 5 stars","651"
"97","Socks","Trainer Socks Men 6 Pairs Ankle Socks Cushioned Sports Socks for Women Cotton Breathable Cushion Mens Running Socks Ladies Casual Nonslip Ankle Athletic Socks","£15.99","4.4 out of 5 stars","448"
"98","Socks","Men's Socks Bigfoot Honeycomb Top Cotton Rich Pack of 6, Size 12-14 uk/46-50 eur","£1.60","4.5 out of 5 stars","785"
"99","Socks","Unisex 3 Pack Crew Socks, Black, L UK","£16.99","4.5 out of 5 stars","436"
"100","Socks","Hippy Go Lucky Box of 6 Odd socks for Ladies - UK 4-8 EUR 37-42","£14.49","4.7 out of 5 stars","330"
